,total_reward_cash,total_profit_percentage,num_of_trades,ccy,data_frequency,window_size,start_date,mid_date,end_date,list_features,model_type,num_of_simulations
0,-598.9460814589927,0.40105391854100747,49.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
1,-636.918444634001,0.36308155536599873,39.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
2,-590.1078434485454,0.4098921565514542,55.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
3,-459.4428001885211,0.5405571998114789,53.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
4,-566.3803379951919,0.43361966200480795,40.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
5,-487.9557904910938,0.5120442095089063,51.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
6,-522.8218808161561,0.47717811918384373,51.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
7,-449.94881060907323,0.5500511893909266,57.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
8,-558.3376855855003,0.4416623144144998,59.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
9,-562.4346631928424,0.43756533680715765,53.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
10,-554.942262918649,0.44505773708135105,57.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
11,-309.11786557099686,0.6908821344290029,49.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
12,-567.9487374902583,0.4320512625097418,56.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
13,-431.7981649414882,0.5682018350585119,54.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
14,-564.1205554158925,0.4358794445841078,44.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume', 'WMA5', 'WMA10', 'WMA20', 'WMA60', 'WMA120', 'WILLR_14', 'NATR_14', 'PPO_12_26', 'CCI_14', 'ADX_14', 'ADXR_14', 'MACD_12_26_9', 'RSI_14', 'BBANDS_U', 'BBANDS_M', 'BBANDS_L']",A2C,1000
