,total_reward_cash,total_profit_percentage,num_of_trades,ccy,data_frequency,window_size,start_date,mid_date,end_date,list_features,model_type,num_of_simulations
31,-95.6129783470409,0.9043870216529594,56.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
32,-193.1737255791282,0.8068262744208716,44.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
33,-432.9535193288524,0.5670464806711476,56.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
34,-41.423279390826266,0.9585767206091732,48.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
35,-289.56197771740267,0.7104380222825974,40.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
36,-177.75928305891392,0.8222407169410856,53.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
37,-457.503434913015,0.5424965650869851,44.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
38,-233.6823623930411,0.7663176376069587,52.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
39,-143.80311199576306,0.8561968880042365,47.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
40,-231.35706371966967,0.7686429362803303,48.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
41,-140.4624668771888,0.8595375331228109,39.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
42,-112.61204848200269,0.8873879515179963,51.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
43,-249.1156941112635,0.7508843058887369,49.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
44,56.25199480401392,1.0562519948040134,50.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
45,85.76391978725911,1.0857639197872584,56.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
46,-370.4517615355081,0.6295482384644917,50.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
47,-246.71461985293715,0.7532853801470628,48.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
48,-229.7096883722054,0.7702903116277947,39.0,BTCUSDT,1d,5,2021-01-06 00:00:00,2022-03-30 00:00:00,2022-09-30 00:00:00,"['open', 'high', 'low', 'volume']",A2C,1000
